w1_win,w1_block,w1_neutral,w2_win,w2_lose,w2_invalid,w2_neutral,w3_win,w3_lose,w3_invalid,w3_neutral,score
0.9658360368882855,0.8759208598204908,0.4774395104382388,0.8313830830764821,0.3437628930267905,0.14051438205154476,0.5619951471467416,0.7520898468387209,0.36995735693638354,0.03509458555401726,0.6549451848468903,622
0.9151370722648778,0.7582070011112199,0.4693810097241371,0.9356026407390459,0.3337194680559382,0.04452433778921541,0.6933125956776934,0.7412209574690062,0.2951497171683744,0.15582040651556917,0.6000181784350753,612
0.9720732145569231,0.8292432944411314,0.5620016071897825,0.8389510188794153,0.2666140047245724,0.019807534101900483,0.4441860957655948,0.7293690351695119,0.3748762368708659,0.13068842706660613,0.6376043368674166,606
0.9378464232599933,0.7678646043398567,0.5462492225795996,0.7268985892188529,0.26545104499607053,0.13111026794628522,0.5051028119606249,0.7105123156498375,0.25442256888477854,0.12586687702429222,0.676849191596619,603
0.9088723819248398,0.8904418386155817,0.4308301924654184,0.8039006446915455,0.18408639473822708,0.10068863050247073,0.6629996185367629,0.7424828299381274,0.3096752406876731,0.0957957268478871,0.6341522964629673,595
0.894446859676726,0.8224564402691699,0.4339254751194812,0.9383668214678805,0.3202836077156994,0.14818497785958926,0.6750690694730764,0.7920402417625901,0.2445357022910491,0.0507645881746316,0.6217541868610984,594
0.9548516097099613,0.7798072133926268,0.41323370610413074,0.7815996983332558,0.1878375482966465,0.11790890053762068,0.5541480945122165,0.7442858742110898,0.21222528210441652,0.09680653935103198,0.68970370346024,594
0.9304591929846574,0.8482286565075456,0.42347748878186364,0.7479276491016414,0.10855087010425321,0.14418465548297718,0.5214586363825643,0.7238224932841926,0.20565081550688571,0.11117549060382496,0.6402771303060931,594
0.8945748401135408,0.779798147189118,0.4772021867349781,0.899621509875604,0.10248658571425448,0.1174618139776226,0.4182913949710076,0.792085094888447,0.28349282648716234,0.07825195694952065,0.6773293984513897,594
0.9464256694036755,0.7654547500278689,0.5079154828748794,0.9163345957519045,0.1278609149542459,0.0737268914137524,0.632029431749578,0.9048517030817121,0.22856494383521309,0.13139768160565268,0.6454957955066953,593
0.9840818366113063,0.8100002297026906,0.4188257262391672,0.7827384539226653,0.32809272722873783,0.13026274634087728,0.4122767606219385,0.8607034649172343,0.24336774238020473,0.10116802286150008,0.6249589211603066,591
0.8970961334573931,0.8836397136393823,0.4208981532750985,0.9200897119528119,0.283799523384752,0.08281839319199404,0.5357611143277615,0.7176290863947343,0.3718473560155907,0.13279896127563728,0.6027758055191589,590
