w1_win,w1_block,w1_neutral,w2_win,w2_lose,w2_invalid,w2_neutral,w3_win,w3_lose,w3_invalid,w3_neutral,score
0.8705959229379088,0.8038310918021028,0.40271512140458204,0.8032615579202185,0.3273106341312465,0.08419780512293956,0.4046717096748619,0.8955645237030538,0.2106451465220085,0.18402697988339278,0.675836006180442,278
0.8527143633485686,0.8185226977056568,0.4381970006964522,0.8329715691283881,0.21914579860162425,0.045028524864769215,0.49227169063614984,0.7412251666212883,0.2082483037320308,0.10133342832940179,0.6814037725640061,275
0.949347120208548,0.8782884787524371,0.4226775412792123,0.8900344425862484,0.28057336723134285,0.149316616681463,0.4454755798277088,0.8905581911513415,0.33672124048268637,0.18478274711127288,0.5263890822702625,274
0.8629062580245229,0.7678147192528582,0.5208461220817627,0.9187443589226725,0.2137401704459751,0.11158105035794254,0.5601672112564672,0.9174341846084018,0.3845632550883068,0.14377802519494923,0.6775955049457054,271
0.9282353050786932,0.8419795883063805,0.40586171284808326,0.8274521196817186,0.2711211234474038,0.06630337264534931,0.43142561974295945,0.7577453755040545,0.3172841960323696,0.1988342137925513,0.5531060710416542,270
0.9381885788437054,0.827750063617332,0.5332712274570596,0.9063743954498162,0.2762362553808377,0.12536353803764294,0.5634239494115725,0.836252153868733,0.3572326361533846,0.1328425417720873,0.6107924311894946,266
0.9697063308158291,0.8197198457864284,0.4326400984395474,0.8965801335629604,0.1990809447473763,0.14679164142808057,0.526227398749674,0.7844244809783427,0.30674181752247076,0.08625125579957132,0.6893717018546962,266
0.9839028070841431,0.826139072118505,0.5139264107835393,0.8318057220191889,0.15782184270641902,0.03617517309926594,0.5365691493859447,0.724767917901277,0.234318773808746,0.035984750322404085,0.6755467449401562,265
0.8711195714528116,0.8595722964602288,0.4271332242230479,0.9492774685234944,0.2689731202084091,0.08436439887083175,0.418422361040299,0.8156566679297652,0.24532447440994495,0.19522593926678872,0.6746934371527418,264
0.9737482344182743,0.8584259753863495,0.6202309923542331,0.8155055945728436,0.23320813570089335,0.05458168161599629,0.5718690602427214,0.821349486490986,0.23754723777323158,0.011741025412289816,0.5288172644000313,262
0.9891688002624258,0.7830313559315887,0.41288009830310957,0.8554084226945868,0.3093263505746981,0.05861597382533519,0.549282271618288,0.8569118774398371,0.33166858579604575,0.021679662880014827,0.5870947691632842,261
0.9000232381490427,0.8119232270543769,0.4665252267877189,0.817708282391397,0.229322747396403,0.09300152806568313,0.5717607768574954,0.7288333736313882,0.38938541313908187,0.11376078649287633,0.6737904380177864,258
0.9542326803052055,0.8990706859259668,0.47270819222600713,0.8977216485919348,0.3000088886793293,0.14366382180840478,0.5454014751489522,0.8623952768938592,0.34259994752250267,0.14995920494308634,0.49042328278587277,257
0.9443930729726229,0.8152512765527153,0.41555841259003173,0.8208267926404925,0.17660550074791037,0.06567459071151935,0.5957538628221832,0.8706863337061572,0.30111357095273356,0.09832509438598493,0.5671173849434653,256
0.960173239319673,0.8778228027966518,0.4147630943112821,0.9103404407464464,0.2715858742672582,0.01259301589690209,0.5808134031127863,0.777188362052788,0.2777779416772044,0.17707956857197155,0.6318949131652167,256
0.8996654443624266,0.886118456803177,0.4800576241042226,0.7231553235667564,0.2786922586092644,0.12342305079951477,0.6200505388370683,0.8882782424144269,0.23465468383066998,0.04807909660966025,0.6582221462188587,255
0.9295903810485595,0.8690049932629988,0.4698910561507196,0.8182637246585462,0.17316745582142334,0.1473271244732787,0.6185796382940938,0.7643866308664699,0.27149023602653416,0.1132993278813284,0.6872858439798748,254
0.9416202463031335,0.8482047830515231,0.5970044048166245,0.7285048774613051,0.23372010524587122,0.12081382007448818,0.4751844644258284,0.7552879487468893,0.28688647664334566,0.07337655179497636,0.6726247857466917,253
0.9155629644210377,0.8329744997396328,0.4417687190709868,0.7972957029973726,0.12164594630649495,0.09620984492741533,0.6058464586181734,0.8080232818334621,0.2899611195460411,0.1596496171298128,0.5818492521665366,251
