w1_win,w1_block,w1_neutral,w2_win,w2_lose,w2_invalid,w2_neutral,w3_win,w3_lose,w3_invalid,w3_neutral,score
0.9581844511332103,0.7650718640173941,0.4560292215608271,0.7103897790219214,0.27239600693452937,0.10349100533921957,0.5596825596152524,0.7285295077435717,0.27822409319357216,0.19967655939051057,0.5988905110238693,156
0.9176186214026524,0.7794041729403844,0.5659218660937713,0.820088427942825,0.19464912937074136,0.048051350970241075,0.6736977773341621,0.9049222852596992,0.3099303922220989,0.17552984936004443,0.6979049301499552,152
0.9726568527783612,0.7717327868369758,0.4111597470334351,0.918442278988497,0.15998645248877494,0.13177414938244908,0.5169396973700883,0.7670542460684058,0.3524504502052769,0.19294398685113043,0.578212251106764,145
0.9194565249701034,0.8936104333574123,0.4138679619921175,0.7363165210625982,0.22139156485618583,0.0966077933308135,0.6245646290507292,0.8784593538235508,0.3417324739061841,0.13825279818121883,0.5834173035280303,144
0.9865632057343694,0.7680392234107593,0.5557448368930804,0.8373109448909015,0.16831821651652223,0.1147051889407692,0.4764395378628349,0.7820691138626421,0.3355484535754808,0.1506764202933769,0.648638554985007,144
0.8921964568396078,0.8158917548173399,0.5275794698933413,0.742837544370289,0.16612088486814774,0.13980621725106498,0.5111841762401499,0.7526275479838815,0.3581132151958376,0.17281525834917585,0.5638661652516874,140
0.8506173020620436,0.7533657987630122,0.4010359885254572,0.7002940079030899,0.14365454804476963,0.10088166311664147,0.453254034991129,0.8809468510376934,0.3435641726788461,0.09029192182197386,0.6128620612845297,138
0.9841181981015056,0.8270148508268855,0.5609420941924712,0.8022482145297514,0.240824421404451,0.03207830375704202,0.5874375702424892,0.8609615952534082,0.2554888861102507,0.18117578340051924,0.66793287316702,136
0.9252177015785391,0.8418879869277501,0.4440522958322051,0.7018406402750048,0.3429400629203388,0.06648670411286409,0.6686234595740754,0.9481851799317257,0.33043438125253144,0.10892308834193347,0.6208033788608692,136
0.8780373161511383,0.8570394513599228,0.5952239574386976,0.7635234131804429,0.14267815520293395,0.06847289042056598,0.4612205471678396,0.7411269220640966,0.2083149671856016,0.1919918651077915,0.6620998328353418,133
0.9665981846122063,0.8911183140130736,0.4778435606732906,0.7131976461006101,0.10548942948054585,0.07919546288982565,0.4600315687792269,0.8145256700946398,0.2759934759507405,0.16803061085781848,0.5814907542845943,133
0.9375095854781783,0.7844559285860705,0.5400173184227666,0.7214402072789751,0.1394171580953847,0.05793695030925347,0.6623662919165842,0.94863538936681,0.23056750107272203,0.038728629243942256,0.6745607703309238,132
0.8753563175897282,0.7639292987868432,0.47138675057434565,0.8768576208733212,0.23401152795699826,0.14005803524516838,0.46369574265885616,0.7070875284959084,0.30676934905477865,0.19386512346224707,0.5985375059950002,131
0.9321412339142614,0.8698620360501166,0.4675259277835013,0.7277765388574915,0.20516745912546025,0.09428982046980892,0.5134964744857671,0.7494000023000881,0.2315278576372314,0.19459888741006076,0.6157178956540177,131
0.8774479519385026,0.7786072284681314,0.49845971721161475,0.7603592911307002,0.1992016497488555,0.09931057062675551,0.4599481563854101,0.7795198172719167,0.21403767253203818,0.02334812141121275,0.6770530146713143,130
0.9304452538972622,0.7864266685379179,0.4089274153833925,0.7421591541180678,0.34603287072576455,0.10520818327014325,0.44889021963682374,0.861474659192376,0.39558088529087077,0.18318972256966384,0.5941574329348949,130
0.9019629357498424,0.8759839773049614,0.5140657415765711,0.8437619079126737,0.22260691413448352,0.11349153961300869,0.4644273875083392,0.7009404104331352,0.3761282757703882,0.03781040455662722,0.5484892476945743,129
0.9104969525958613,0.8929585880357978,0.4246421523697503,0.9182503137852936,0.3388219527144181,0.01566562221978581,0.602520851753247,0.7912917274519509,0.2138483203776417,0.172453835922519,0.56545281718673,129
0.8825619076865383,0.8040108635230085,0.40496942026587246,0.8268096094673563,0.3305470666528131,0.1412438493198182,0.47408133918012935,0.7608239807626738,0.29809106210331077,0.095732506620339,0.5884164463369108,129
0.937276665254176,0.7573658485155138,0.5509235529302998,0.7986266918121211,0.2486834793036908,0.019625816355004155,0.65731099830761,0.801463045451523,0.20204652510759596,0.05263269414787978,0.5480226176550766,129
0.9012912337662701,0.811804811144887,0.5018813664974255,0.7858785921780603,0.19405238108647233,0.07808961725808065,0.4684325851365031,0.7915454244019304,0.36735681694174965,0.0411741494670777,0.6336068394559322,128
0.9173399150894038,0.7854524026238792,0.47742247780979485,0.9211965497798694,0.345638332479702,0.11642440609218101,0.5494030584256188,0.7480108576676595,0.3361180518066432,0.13834587907781631,0.627075605038546,128
0.9432882573486023,0.767407950085043,0.4563406726000879,0.8508219794521724,0.17317015559030824,0.07362468389101841,0.6590254179641591,0.7053249551020314,0.37040737267388646,0.19489285279625204,0.4827291301326565,125
0.946629046765981,0.844275241463867,0.5695056286869701,0.7994206976619254,0.1694697830515316,0.057275620014110115,0.661520274781283,0.778216837032571,0.25704977464273765,0.09959712470258936,0.6285277418092183,123
0.9780034282174077,0.8939391541919666,0.4629876546936541,0.9065261392434005,0.17098575836609137,0.05492016971430401,0.5004274882802227,0.8392677191966,0.30661831551912966,0.17129122756955803,0.6221062752430402,123
0.9691218308341586,0.7817335985709881,0.40175245479688215,0.7031659116634331,0.3440929569424394,0.12489517036715822,0.49091503557058447,0.7558764060110208,0.26201723639552543,0.023811244855592724,0.6163469875468378,123
0.9742386051139742,0.8389657516235568,0.5484110465413297,0.9419570754184151,0.2430166506489451,0.14233195969004278,0.4700297247367771,0.8247578047320612,0.34405840377787245,0.08892331096437808,0.642263173870919,122
0.9314005438795785,0.789051012807382,0.4563067922692635,0.9470710746266549,0.29143793616230995,0.13948367711084297,0.4596100196327688,0.7154641529487846,0.35804773026590087,0.11208619110934712,0.6499116858377347,122
0.9573235870168024,0.8630737058042037,0.44629903127423703,0.7178286329885507,0.2438521448294821,0.07597128955289384,0.6520016416672434,0.7212891130595005,0.28581535807947045,0.17701325128303705,0.6551088320880774,122
0.9387673744158794,0.7940686870092737,0.5958321095293356,0.7387283317986573,0.21371108354030366,0.05176726399308741,0.5331873885328533,0.9171443463580633,0.2957293240362475,0.10960176711210945,0.5717202040877537,122
0.9026866673634144,0.8661786952146862,0.5347223054931612,0.8165767408975112,0.21640128979876494,0.056940243521414184,0.5109305232317628,0.7014406314954569,0.20908768113726267,0.14167771920179847,0.639666995734858,121
0.9332735918158446,0.8882794664196317,0.5033975395496352,0.942925748505901,0.2908063950598865,0.08088765166537633,0.6702325531580677,0.8418402069234157,0.2653984612583191,0.1754141082064082,0.44006667624290186,120
0.8952925418523695,0.815875276638348,0.6143830129285541,0.7143182634517699,0.13766368759428402,0.09328803688904683,0.5381185274894364,0.8180428805124068,0.2672145225070266,0.11750190247232938,0.6421294630671552,120
